distance,category,rel_freq
25.5-26.5,simulated_none,0
26.5-27.5,simulated_none,0.001126126
27.5-28.5,simulated_none,0.000375375
28.5-29.5,simulated_none,0.000375375
29.5 - 30,simulated_none,0
0-0.5,capacity_1,0.766028003
0.5-1.5,capacity_1,0.15880619
1.5- 2.5,capacity_1,0.058585114
2.5-3.5,capacity_1,0.002947679
3.5-4.5,capacity_1,0.00110538
4.5-5.5,capacity_1,0.001473839
5.5-6.5,capacity_1,0.00073692
6.5-7.5,capacity_1,0.00073692
7.5-8.5,capacity_1,0.00036846
8.5-9.5,capacity_1,0.00073692
9.5-10.5,capacity_1,0.00073692
10.5-11.5,capacity_1,0.00036846
11.5-12.5,capacity_1,0.00073692
12.5 - 13.5,capacity_1,0
13.5 - 14.5,capacity_1,0
14.5-15.5,capacity_1,0
15.5 - 16.5,capacity_1,0
16.5 - 17.5,capacity_1,0.00036846
17.5 - 18.5,capacity_1,0.00036846
18.5-19.5,capacity_1,0.00073692
19.5 - 20.5,capacity_1,0
20.5- 21.5,capacity_1,0.00110538
21.5-22.5,capacity_1,0.00036846
22.5 - 23.5,capacity_1,0
23.5-24.5,capacity_1,0.00036846
24.5-25.5,capacity_1,0.00036846
25.5-26.5,capacity_1,0.00110538
26.5-27.5,capacity_1,0.00036846
27.5-28.5,capacity_1,0.00073692
28.5-29.5,capacity_1,0.00036846
29.5 - 30,capacity_1,0.00036846
0-0.5,capacity_2,0.887864612
0.5-1.5,capacity_2,0.097413319
1.5- 2.5,capacity_2,0.005090809
2.5-3.5,capacity_2,0.001926252
3.5-4.5,capacity_2,0.000963126
4.5-5.5,capacity_2,0.000275179
5.5-6.5,capacity_2,0.000412768
6.5-7.5,capacity_2,0.000275179
7.5-8.5,capacity_2,0.000550358
8.5-9.5,capacity_2,0.000550358
9.5-10.5,capacity_2,0.000963126
10.5-11.5,capacity_2,0.000137589
11.5-12.5,capacity_2,0.000412768
12.5 - 13.5,capacity_2,0
13.5 - 14.5,capacity_2,0.000550358
14.5-15.5,capacity_2,0.000137589
15.5 - 16.5,capacity_2,0
16.5 - 17.5,capacity_2,0
17.5 - 18.5,capacity_2,0.000137589
18.5-19.5,capacity_2,0
19.5 - 20.5,capacity_2,0.000275179
20.5- 21.5,capacity_2,0.000137589
21.5-22.5,capacity_2,0
22.5 - 23.5,capacity_2,0
23.5-24.5,capacity_2,0.000275179
24.5-25.5,capacity_2,0.000137589
25.5-26.5,capacity_2,0.000137589
26.5-27.5,capacity_2,0.000275179
27.5-28.5,capacity_2,0.000550358
28.5-29.5,capacity_2,0.000412768
29.5 - 30,capacity_2,0.000137589
0-0.5,capacity_4,0.95137929
0.5-1.5,capacity_4,0.036059859
1.5- 2.5,capacity_4,0.005529178
2.5-3.5,capacity_4,0.000600998
3.5-4.5,capacity_4,0.000360599
4.5-5.5,capacity_4,0.000661097
5.5-6.5,capacity_4,0.000300499
6.5-7.5,capacity_4,0.000841397
7.5-8.5,capacity_4,0.000180299
8.5-9.5,capacity_4,0.000360599
9.5-10.5,capacity_4,0.000420698
10.5-11.5,capacity_4,0.0001202
11.5-12.5,capacity_4,0.000360599
12.5 - 13.5,capacity_4,0.000300499
13.5 - 14.5,capacity_4,0.000180299
14.5-15.5,capacity_4,0.000360599
15.5 - 16.5,capacity_4,0.000360599
16.5 - 17.5,capacity_4,0.0001202
17.5 - 18.5,capacity_4,6.01E-05
18.5-19.5,capacity_4,0.0001202
19.5 - 20.5,capacity_4,0.000180299
20.5- 21.5,capacity_4,6.01E-05
21.5-22.5,capacity_4,6.01E-05
22.5 - 23.5,capacity_4,0.0001202
23.5-24.5,capacity_4,0.0001202
24.5-25.5,capacity_4,0.000240399
25.5-26.5,capacity_4,0.000180299
26.5-27.5,capacity_4,6.01E-05
27.5-28.5,capacity_4,6.01E-05
28.5-29.5,capacity_4,6.01E-05
29.5 - 30,capacity_4,0.000180299
