dist_no,dist_lo,dist_med,dist_hi,dist_empirical
0,0,0,0,0.04522444
0,0,0,0,0.04522444
0,0,0,0,0.084593144
0,0,0,0,0.098045908
0,0,0,0,0.098045908
0,0,0,0,0.104581308
0,0,0,0,0.143513937
0,0,0,0,0.143513937
0,0,0,0,0.158310612
0,0,0,0,0.163101962
0,0,0,0,0.176638048
0,0,0,0,0.193023315
0,0,0,0,0.209211018
0,0,0,0,0.228973798
0,0,0,0,0.228973798
0,0,0,0,0.325555679
0,0,0,0,0.342450726
0,0,0,0,0.342450726
0,0,0,0,0.349091679
0,0,0,0,0.356871475
0,0,0,0,0.395596069
0,0,0,0,0.40002
0,0,0,0,0.418202104
0,0,0,0,0.457111857
0,0,0,0,0.457111857
0,0,0,0,0.465052685
0,0,0,0,0.562528444
0,0,0,0,0.64156313
0,0,0,0,0.672500743
0,0,0,0,0.713794438
0,0,0,0,0.745655752
0,0,0,0,0.760098184
0,0,0,0,0.848809166
0,0,0,0,0.854108453
0,0,0,0,0.854182797
0,0,0,0,0.854182797
0,0,0,0,0.871777638
0,0,0,0,0.917539236
0,0,0,0,0.956330618
0,0,0,0,1.016847211
0,0,0,0,1.116731839
0,0,0,0,1.138642723
0,0,0,0,1.138642723
0,0,0,0,1.169350781
0,0,0,0,1.204953319
0,0,0,0,1.276977095
0,0,0,0,1.288984581
0,0,0,0,1.438174277
0,0,0,0,1.44068456
0,0,0,0,1.466929617
0,0,0,0,1.588987099
0,0,0,0,1.604067096
0,0,0,0,1.619685309
0,0,0,0,1.633222964
0,0,0,0,1.65273962
0,0,0,0,1.699134633
0,0,0,0,1.699134633
0,0,0,0,1.70654285
0,0,0,0,1.733212696
0,0,0,0,1.733212696
0,0,0,0,1.756724011
0,0,0,0,1.887703896
0,0,0,0,1.973027939
0,0,0,0,1.976989694
0,0,0,0,2.023317202
0,0,0,0,2.034821982
0,0,0,0,2.076855436
0,0,0,0,2.088368382
0,0,0,0,2.341360555
0,0,0,0,2.558634988
0,0,0,0,2.7038676
0,0,0,0,2.729300506
0,0,0,0,2.833873365
0,0,0,0,2.843049507
0,0,0,0,3.019894576
0,0,0,0,3.020515891
0,0,0,0,3.022728072
0,0,0,0,3.035723966
0,0,0,0,3.151479216
0,0,0,0,3.15949636
0,0,0,0,3.161660402
0,0,0,0,3.252025407
0,0,0,0,3.292391836
0,0,0,0,3.311266714
0,0,0,0,3.331493997
0,0,0,0,3.332952032
0,0,0,0,3.683591759
0,0,0,0,3.866725391
0,0,0,0,3.916435241
0,0,0,0,4.024286272
0,0,0,0,4.074498282
0,0,0,0,4.096778155
0,0,0,0,4.14084777
0,0,0,0,4.199800858
0,0,0,0,4.543353937
0,0,0,0,4.618745744
0,0,0,0,4.656829635
0,0,0,0,4.788825169
0,0,0,0,5.158933732
0,0,0,0,5.191621351
0,0,0,0,5.450678536
0,0,0,0,5.454498419
0,0,0,0,5.625599213
0,0,0,0,5.757645026
0,0,0,0,5.944793289
0,0,0,0,6.182372886
0,0,0,0,6.334890863
0,0,0,0,6.644194628
0,0,0,0,6.784317394
0,0,0,0,7.080748725
0,0,0,0,7.428369825
0,0,0,0,7.470592363
0,0,0,0,7.703310409
0,0,0,0,8.414378602
0,0,0,0,8.700695734
0,0,0,0,8.741844771
0,0,0,0,9.305341961
0,0,0,0,9.677733051
0,0,0,0,13.46052452
0,0,0,0,16.37737684
0,0,0,0,NA
0,0,0,0,NA
0,0,0,0,NA
0,0,0,0,NA
0,0,0,0,NA
0,0,0,0,NA
0,0,0,0,NA
0,0,0,0,NA
0,0,0,0,NA
0,0,0,0,NA
0,0,0,0,NA
0,0,0,0,NA
0,0,0,0,NA
0,0,0,0,NA
0,0,0,0,NA
0,0,0,0,NA
0,0,0,0,NA
0,0,0,0,NA
0,0,0,0,NA
0,0,0,0,NA
0,0,0,0,NA
0,0,0,0,NA
0,0,0,0,NA
0,0,0,0,NA
0,0,0,0,NA
0,0,0,0,NA
0,0,0,0,NA
0,0,0,0,NA
0,0,0,0,NA
0,0,0,0,NA
0,0,0,0,NA
0,0,0,0,NA
0,0,0,0,NA
0,0,0,0,NA
0,0,0,0,NA
0,0,0,0,NA
0,0,0,0,NA
0,0,0,0,NA
0,0,0,0,NA
0,0,0,0,NA
0,0,0,0,NA
0,0,0,0,NA
0,0,0,0,NA
0,0,0,0,NA
0,0,0,0,NA
0,0,0,0,NA
0,0,0,0,NA
0,0,0,0,NA
0,0,0,0,NA
0,0,0,0,NA
0,0,0,0,NA
0,0,0,0,NA
0,0,0,0,NA
0,0,0,0,NA
0,0,0,0,NA
0,0,0,0,NA
0,0,0,0,NA
0,0,0,0,NA
0,0,0,0,NA
0,0,0,0,NA
0,0,0,0,NA
0,0,0,0,NA
0,0,0,0,NA
0,0,0,0,NA
0,0,0,0,NA
0,0,0,0,NA
0,0,0,0,NA
0,0,0,0,NA
0,0,0,0,NA
0,0,0,0,NA
0,0,0,0,NA
0,0,0,0,NA
0,0,0,0,NA
0,0,0,0,NA
0,0,0,0,NA
0,0,0,0,NA
0,0,0,0,NA
0,0,0,0,NA
0,0,0,0,NA
0,0,0,0,NA
0,0,0,0,NA
0,0,0,0,NA
0,0,0,0,NA
0,0,0,0,NA
0,0,0,0,NA
0,0,0,0,NA
0,0,0,0,NA
0,0,0,0,NA
0,0,0,0,NA
0,0,0,0,NA
0,0,0,0,NA
0,0,0,0,NA
0,0,0,0,NA
0,0,0,0,NA
0,0,0,0,NA
0,0,0,0,NA
0,0,0,0,NA
0,0,0,0,NA
0,0,0,0,NA
0,0,0,0,NA
0,0,0,0,NA
0,0,0,0,NA
0,0,0,0,NA
0,0,0,0,NA
0,0,0,0,NA
0,0,0,0,NA
0,0,0,0,NA
0,0,0,0,NA
0,0,0,0,NA
0,0,0,0,NA
0,0,0,0,NA
0,0,0,0,NA
0,0,0,0,NA
0,0,0,0,NA
0,0,0,0,NA
0,0,0,0,NA
0,0,0,0,NA
0,0,0,0,NA
0,0,0,0,NA
0,0,0,0,NA
0,0,0,0,NA
0,0,0,0,NA
0,0,0,0,NA
0,0,0,0,NA
0,0,0,0,NA
0,0,0,0,NA
